Model,MSE,RMSE,MAE,R²,MAPE (%),Accuracy (%)
SVR,23.26363579302995,4.823239139108692,2.2766670323909652,0.8231129982218075,5.176816382455952,94.82318361754405
Decision Tree,48.607880520925626,6.971935206305751,5.300284124442488,0.6304059122729548,12.934503529790863,87.06549647020914
KNN,33.94780406832288,5.826474411539356,4.480510595508846,0.741875030540226,10.668744321028296,89.3312556789717
Random Forest,36.363982584582054,6.030255598611228,4.476507988061106,0.7235034149722923,10.47081924350022,89.52918075649978
SVM Linear,26.17207745359965,5.115865269297037,2.877203439452213,0.800998418636655,6.69916714505216,93.30083285494784
